stnr	lftd	ANA	DEV	PRJ	SKL
80143	22	8,2	0,8	9,5	7,9
80144	20	4,5	5,1	5,4	7,5
80145	19	5,5	3,7	8,0	7,6
80146	20	7,0	2,5	6,9	7,8
80147	20	5,2	4,5	7,3	7,6
80148	19	5,5	3,6	9,2	7,6
80149	22	4,4	4,8	5,5	7,5
80150	20	8,4	1,0	4,3	7,9
80151	19	6,7	2,8	9,1	7,7
80152	22	9,2	0,5	7,4	8,0
80153	21	6,1	2,9	9,8	7,7
80154	16	5,6	4,4	10,0	7,6
80155	19	4,9	4,8	9,3	7,5
80156	18	8,2	1,1	8,9	7,9
80157	21	6,2	2,8	4,2	7,7
80158	20	5,6	3,6	9,1	7,6
80159	21	6,2	3,6	7,6	7,7
80160	24	6,4	3,0	7,1	7,7
80161	22	6,2	3,1	4,9	7,7
80162	18	4,6	5,2	8,4	7,5
80163	23	4,4	4,8	6,6	7,5
80164	18	7,9	1,1	5,7	7,9
80165	17	4,6	4,7	5,3	7,5
80166	21	9,0	0,4	7,8	8,0
80167	21	7,8	2,1	9,5	7,9
80168	23	6,7	2,9	7,5	7,7
80169	18	5,9	3,4	5,8	7,7
80170	21	6,4	3,2	9,7	7,7
80171	23	7,0	2,4	6,7	7,8
80172	17	7,0	2,3	8,6	7,8
80173	21	4,7	5,2	9,1	7,5
80174	21	6,3	2,9	8,8	7,7
80175	20	6,4	3,1	6,5	7,7
80176	24	6,3	2,8	5,4	7,7
80177	20	4,1	5,3	8,1	7,5
80178	17	6,6	3,2	4,2	7,7
80179	22	6,8	2,9	4,3	7,8
80180	20	8,8	0,2	7,8	8,0
80181	23	8,4	1,6	4,4	7,9
80182	22	4,7	4,5	7,7	7,5
80183	24	5,3	4,4	9,8	7,6
80184	19	7,9	1,7	4,5	7,9
80185	19	7,9	1,8	9,7	7,9
80186	17	8,4	0,6	8,1	7,9
80187	19	4,8	5,1	8,1	7,5
80188	19	4,2	5,0	9,1	7,5
80189	20	8,4	0,7	7,1	7,9
80190	21	7,3	2,5	6,0	7,8
80191	16	8,2	0,8	6,3	7,9
80192	21	8,7	0,7	8,3	8,0
80193	23	8,5	0,9	9,5	7,9
80194	22	8,5	0,9	8,5	7,9
80195	21	7,2	1,9	6,2	7,8
80196	21	4,5	5,2	7,0	7,5
80197	20	7,6	1,4	5,8	7,8
80198	19	7,3	1,8	7,0	7,8
80199	16	3,9	5,8	9,2	7,4
80200	20	5,9	3,6	5,1	7,7
80201	20	7,6	2,0	6,9	7,8
80202	20	4,7	4,6	6,3	7,5
80203	20	6,7	2,4	8,5	7,7
80204	19	8,3	1,7	6,9	7,9
80205	16	7,7	2,3	4,8	7,9
80206	20	4,3	5,5	6,0	7,5
80207	18	7,4	2,2	6,0	7,8
80208	23	5,0	4,0	8,5	7,6
80209	19	6,2	3,2	9,0	7,7
80210	20	8,6	1,1	8,9	8,0
80211	22	5,0	4,3	8,0	7,6
80212	22	7,0	2,4	4,8	7,8
80213	20	4,5	4,7	5,5	7,5
80214	23	7,4	2,1	5,7	7,8
80215	23	7,1	2,3	6,1	7,8
80216	19	5,1	4,3	5,5	7,6
80217	24	7,2	2,3	5,5	7,8
80218	19	4,2	5,8	9,5	7,5
80219	22	7,1	2,2	6,6	7,8
80220	22	5,2	4,0	8,1	7,6
80221	24	8,1	1,2	7,2	7,9
80222	24	8,4	0,7	5,4	7,9
80223	18	6,4	3,6	7,0	7,7
80224	21	8,4	1,5	6,2	7,9
80225	24	8,5	1,2	6,9	7,9
80226	23	7,0	2,9	9,0	7,8
80227	21	6,5	2,9	7,2	7,7
80228	20	4,0	5,1	5,8	7,4
80229	17	8,5	1,2	8,4	7,9
80230	20	5,9	3,7	8,9	7,7
80231	20	6,3	3,0	8,2	7,7
80232	20	8,9	0,2	4,4	8,0
80233	22	8,1	1,7	7,5	7,9
80234	22	5,1	4,6	4,0	7,6
80235	18	7,8	1,2	7,9	7,9
80236	16	6,8	2,3	4,4	7,8
80237	22	8,0	1,7	5,9	7,9
80238	20	6,7	3,0	5,2	7,7
80239	18	4,6	4,8	8,3	7,5
80240	24	6,0	3,2	7,2	7,7
80241	16	5,1	4,0	4,5	7,6
80242	22	4,2	5,7	5,8	7,5
80243	19	4,7	4,8	9,1	7,5
80244	18	6,7	2,6	6,4	7,7
80245	19	7,5	1,5	5,6	7,8
80246	23	8,1	1,4	4,3	7,9
80247	17	7,0	2,7	7,3	7,8
80248	19	5,0	4,6	8,3	7,6
80249	16	4,7	4,8	6,2	7,5
80250	21	4,8	4,8	6,4	7,5
